message,label
Why wait for Pay Day? Get 15 Lacs Instantly transferred into your account,spam
"Don't wait! Upgrade your life with a Rs 5,00,000 instant loan through Vi",spam
Need Urgent Cash? Get an instant Personal Loan now,spam
Instat Loa Up to 15L! Apply now get instant approval,spam
Get loan upto 5 lakhs instantly no documents required,spam
Congratulations Your personal loan of upto Rs 25 Lacs can be yours today,spam
Born 1980-2000? Secure your future today click here,spam
Are you born between 1975-2000? It's time to secure your family,spam
Are you born between 1980-2000? It's time to invest in your future,spam
Protect your family with Bajaj General My Health Care Plan apply now,spam
Axis Maxlife Insurance Savings Are you born between 1975-2000,spam
Congratulations You have exclusive pre-approved offer of Bank credit card,spam
Free debit card plus cashback with 811 Super Account open now,spam
Account Update ATM Card offer expiring Open your bank account now,spam
HDFC Pixel Play Credit Card Lifetime FREE apply now limited offer,spam
Open an EASY ACCESS Digital Savings Account with Axis Bank today,spam
uspaenjoy your account has been credited with Rs5000 Proceed to claim,spam
pleaseregisterhere your account has been credited with Rs5000 Proceed,spam
Dear Client please note A fresh YonoArcade update brings INR999 reward,spam
Infant Success 3888 credited to your account Ready for withdrawal,spam
CP-POWAAR DearStudents Your account just received Rs 3000 as special VIP gift,spam
AD-INFATL Infant Success 3888 credited to your account ready for withdrawal,spam
Dear Don't wait for buyers Sell your car now Free Inspection Same Day Payment Get Best Price,spam
Want to Sell your Car Book Free Cars Inspection today and get best price,spam
UPTO 50% OFF ON MAKING CHARGES AT KALYAN JEWELLERS THIS SEASON,spam
Akshaya Tritiya Offers Get Up to 100% OFF on Making Charges at BlueStone,spam
BlueStone Akshaya Tritiya offers are live Celebrate the auspicious occasion,spam
100% Job and Global Placements with SUN International College Study BHM BBA BSc apply now,spam
Unlock Your Future with NMIMS Online MBA apply now limited seats,spam
JX-TIRMLA Dear Parent AVAGAHANA SADASSU 2026 on JEE get admission now,spam
Hot Pick Penny Stock Alert NBFC stock Mangalam Industrial Finance buy now,spam
Don't Miss Today Commodity Move invest now for high returns,spam
New fund live Invest before it ends JioBlackRock Mutual Fund,spam
Fresh demand visible for Take Solutions Ltd NSE BSE invest now,spam
ARUNJYOTI BIO VENTURES LTD you shouldn't miss this investment opportunity,spam
Get FREE access to 20+ OTT apps with your Airtel number Enjoy now,spam
Story TV Internet ka sabse VIRAL Drama watch now subscribe,spam
OMG Bas 1 Minute Sirf Rs 1 mein Full entertainment watch now,spam
Enjoy FREE McDonald's fries when you pay from your Airtel Payments Bank,spam
EVERYTHING FROM ALDO AT MIN 50% OFF shop now limited time,spam
Rs50 FREE CASH Yes you read that right claim now on Swiggy,spam
FREE Hellotune for you Set it now on Airtel App limited offer,spam
Win T20 match tickets meet players and get signed bats jerseys now,spam
Special offer for Airtel users Win match tickets with your next recharge,spam
In just Rs 50 more get Unlimited 5G 2GB per day and Apple Music,spam
Hello Now Recharge with Rs 47 and get Unlimited Callertunes for 28 days,spam
Get 1-month JioHotstar plus 5GB extra perfect binge on JioHotstar now,spam
VA-612345 Mee favourite Movies Series TV Shows ni Vi prayeka rechargelato chuḍaṇḍi,spam
JM-620040 Mee Data kosam Super Over special offer claim cheyandi,spam
Jio Offer Abhiandanalu Phone storage nindipotondaa free upgrade now,spam
JioRecharge ee cricket season lo live match watch cheyandi special offer,spam
MyJio Phone storage nindipotondaa upgrade cheyandi free offer,spam
Indriya Golden beginnings with Indriya exclusive offer for you,spam
ACKO CAR Insure Your Car in Just Minutes special discount apply now,spam
Dot Key Skincare special offer for you claim discount now,spam
Meesho sale live ayindi special discount for you shop now,spam
JioMart Winter style breaking news Year End Mega Sale shop now,spam
JioMart Breaking News Year End Mega Sale shop now limited time offer,spam
BV-YASGOV Final call Take MY Bharat Budget Quest participate now,spam
BZ-YASGOV Final call Take MY Bharat Budget Quest last chance,spam
MYAJIO BONUS SUPER CASH ADDED claim now limited time offer,spam
TeamJio Jio 5G Hattrick Welcome Back We've missed you special offer,spam
Jio Value Abhinandanalu Meeru Rs35100 viluvayna Google gift won claim,spam
VD-611126 Win T20 match tickets meet players get signed bats jerseys,spam
AX-MOBIKW Still confused what to order Get up Rs 200 Cashback on food,spam
Recharge now and get 3GB per day for 3 days at Rs 39 limited offer,spam
JX-NDMAEW Mee praanthanlO piḍuguḷu paḍe avakaaśam special offer claim cheyandi,spam
JD-NDMAEW Mee praanthanlO piḍuguḷu paḍe avakaaśam urumuḷu claim now,spam
JE-NDMAEW Mee praanthanlO piḍuguḷu paḍe avakaaśam undi claim cheyandi,spam
JZ-NDMAEW Mee praanthanlO piḍuguḷu paḍe avakaaśam undi urumuḷu now,spam
JG-NDMA Mee praanthanlO piḍuguḷu paḍe avakaaśam undi special offer,spam
VA-612135 Mee favourite Movies Series TV Shows ni Vi prayeka rechargelato,spam
JK-620016 Ipuḍu anlimiṭeḍ gaa uṇḍaṇḍi nija entertainment offer,spam
JM-620040 Mee Data kosam Super Over special offer claim cheyandi now,spam
JK-620040 Mee Data kosam Super Over special offer grab it now,spam
JD-RBISAY Mosapoorita mayna padhakaalalo peṭṭubaḍulanu kO invest now,spam
VA-RBISAY Mosapoorita mayna padhakaalalo peṭṭubaḍulanu kO invest now,spam
JD-RBISAY-S moosapoorita mayna padhakaalalo pettabudulanu invest now,spam
Your OTP is 7766 Don't share this code with anyone,ham
Hi OTP to update your Mobile Number is valid for 10 minutes do not share,ham
395820 is OTP for Aadhaar do not share with anyone,ham
8450 is your JioHotstar verification code do not share,ham
2017 is your JioHotstar verification code valid for 10 minutes,ham
Please use OTP 1250 to login do not share with anyone,ham
Please use OTP 5869 to login do not share with anyone,ham
Bigbasket login code 149718 do not share,ham
456475 is your GitHub authentication code,ham
907640 is your GitHub authentication code do not share,ham
398796 is your One time password for JioNet login,ham
6415 is OTP for your ATM Cash Withdrawal do not share,ham
Ekart Update OTP 213249 for your shipment delivery,ham
JD-PHONPE Your OTP for login on PhonePe is valid 10 minutes,ham
Dear SBI Customer Rs 20000 withdrawn from your account,ham
Dear UPI user Account X7645 debited by 500.00 on date 24Mar26,ham
Dear UPI user Account X7645 debited by 100.00 on date 18Mar26,ham
An amount of INR 100.00 has been debited from your Canara Bank account,ham
Rs 100.00 paid thru Account XX7354 on 04-4-26 transaction successful,ham
You've paid Rs 3.5 via PhonePe gift card to Airtel Recharge,ham
Your Apay Wallet balance is debited for INR 60.00 Reference Number,ham
UPI Activated You've linked your Bank Account to UPI successfully,ham
VD-HDFCBN UPI Activated successfully linked to your account,ham
Delivery attempt for SP_INLA your package out for delivery,ham
Item PT174069992IN is out for delivery today,ham
BT-INPOST Delivery attempt for your package today,ham
Registration of your IPPB mobile banking is successful,ham
Alert 100% of daily high speed data is consumed Get 3GB per day,ham
Alert 50% data is consumed per day get recharge offer,ham
Data usage Alert check your prepaid usage now,ham
JA-JioPay Data usage Alert 07-Apr-26 19:12 check your usage,ham
Data running low while travelling Go Limitless with Unlimited Data,ham
Your Airtel pack on 8341XXX83 has been updated,ham
Enjoy 2GB data valid till midnight compliments from Airtel,ham
VA-ViCARE Rs365 Vi NonStop Hero Recharged Enjoy UL Data Calls 100SMS,ham
Hi Introductory Unlimited 5G data offer is activated with your recharge,ham
JA-JioPay Gamanikal Recharge vijayavantamaindi receipt,ham
MyJio Log-in Alert A new login to your MyJio account detected,ham
JX-JIONET 398796 is your One time password for JioNet,ham
VA-JIOHTR 2017 is your JioHotstar verification code,ham
Check your prepaid usage VA-ViCARE service update,ham
AA-AIRMCA Meeru 18:46 ku call chesina vyakti ippu details,ham
Follow Twitter handle CyberDost of Ministry of Home Affairs for cyber safety,ham
While receiving international call if Indian number displayed inform DoT 1800110420,ham
Important information TRAI does not provide any NOC for international calls,ham
CSK CERT-In advises you to keep your devices updated for security,ham
AD-RBISAY Digital Rupai eRs Bharatadeshappu Kendra Baynku information,ham
VA-RBISAY Digital Rupee eRs Bharatadeshamu Kendra Bank official information,ham
AD-TRAIND Spam pai charya kosam spam nu report cheyandi official message,ham
JA-TRAIND Spam lapai charya kosam spam nu report cheyandi government,ham
AD-TRAIND Spam pai charya kosam spam nu report cheyandi awareness,ham
Ill call you right back,ham
Hotstop on Cheyyi,ham
Pgp unit5 notes sent check your email,ham
Recharge cheyyava 22 rupees needed,ham
Ill call you right back just 5 minutes,ham
You have initiated registration on PhonePe complete verification,ham
You have initiated registration on VA-PHONPE complete it now,ham
Dear bigbasketeer help us serve you better feedback survey,ham
AD-ISATHI Mee peru meeda enni simlu unnayo telusukova official check,ham
JA-ISATHI Mee peru meeda enni simlu unnayo telusukova check now,ham
Mee Jio number 7013933655 yokka information official Jio message,ham
HSBC TravelOne Credit Limited Pre-sale Delhi Capitals tickets for HSBC,ham
VK-COKETH Your opinions matter the most to us Share feedback survey,ham
AD-ARWGOV CSK CERT-In advises you to keep your software updated,ham
AD-IPBMSG Registration of your IPPB mobile banking successful,ham
AX-IPBMSG Registration of your IPPB mobile banking is confirmed,ham
CP-BIGBKT Dear bigbasketeer help us serve you better rate experience,ham
JM-BIGBKT Bigbasket login code 149718 do not share with anyone,ham
AD-SBIBNK 6415 is OTP for your ATM Cash Withdrawal do not share,ham
Never share your UPI PIN CVV or OTP with anyone AD-AIRBNK safety tip,ham
JD-SBIUPI Dear SBI UPI user Account debited transaction details,ham
VK-SBIUPI Dear UPI user Account X7645 debited by 50 transaction alert,ham
AX-SBIUPI Dear UPI user Account X7645 debited by 500 on 24Mar26,ham
Canara Bank An amount of INR 100.00 has been credited to your account,ham
VM-CANBNK An amount of INR 100.00 has been credited successfully,ham
VA-CANBNK Rs 100.00 paid thru Account XX7354 on 04-4-26 08:36:39,ham
AD-ATMSBI Dear SBI Customer Rs 10000 transaction alert notification,ham
JM-PHONPE You have initiated registration on PhonePe complete it,ham
JD-SHEINI To Register on SHEININDIA verification code sent,ham
CP-WADHWN Your OTP is 7660 Don't share this code with anyone,ham
VA-WINSPA Hi OTP to update your Mobile Number do not share,ham
JX-ADHAAR 395820 is OTP for Aadhaar do not share with anyone,ham
JX-blnkit Please use OTP 1250 to login do not share,ham
CP-blnkit Please use OTP 5869 to login do not share with anyone,ham
AD-650022 Your documents have been submitted Complete your bank KYC,ham
JM-HDFCBK UPI Activated You've linked your Bank Account to UPI,ham
JX-JUSPAY Your Apay Wallet balance is debited for INR 60.00,ham
AX-ICICIT Per day cooling period limit for UPI transactions is Rs 5000 via WA,ham
HPGas Bkng504966 Confirmed your HP gas booking is confirmed,ham
VM-EKARTL Ekart Update shipment out for delivery today,ham
AX-EKARTL Ekart Update OTP 213249 for your shipment,ham
VM-HPGASc HPGas Bkng504966 Confirmed booking successful,ham
BV-INPOST Item PT174069992IN is out for delivery today,ham
JD-LSELDH Dear Client please note A fresh YonoArcade update INR999,ham
Your OTP is 456123. Do not share with anyone.,ham
OTP for your transaction is 789456. Valid 10 mins.,ham
Your login OTP is 123456. Do not share.,ham
Use OTP 654321 to complete your payment.,ham
Your verification code is 456789.,ham
Aapka account band ho jayega abhi OTP bhejo,spam
Aapko 50000 rupee jeete hain abhi claim karo,spam
Tumhara SBI account block ho gaya turant call karo,spam
Free recharge pane ke liye yahan click karo,spam
Aapka KYC pending hai turant update karo,spam
Lottery jeeti hai abhi number par call karo,spam
Aapka account suspend hoga OTP share karo,spam
